epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2727,1.48548,3.74949,1.36427,0.00333,1,0.01401,0.01008,0.41043,3.04332,0.87402,0.0001,0.0001,0.0001
2,14.7398,0.75615,3.19867,1.02494,0.00333,1,0.87303,0.77901,0.43596,2.61392,0.72876,0.000217822,0.000217822,0.000217822
3,19.0147,0.55603,2.16505,0.84435,0.00333,1,0.95395,0.8271,0.54342,2.46524,0.73482,0.000333268,0.000333268,0.000333268
4,20.1386,0.53415,1.66788,0.81716,0.00333,1,0.98611,0.79095,0.60674,2.41838,0.75588,0.000446338,0.000446338,0.000446338
5,22.1621,0.51147,1.38628,0.8088,0.00333,1,0.92656,0.81241,0.48395,2.50311,0.75122,0.000557032,0.000557032,0.000557032
6,24.8446,0.47297,1.19204,0.85231,0.00333,1,0.86345,0.76004,0.4516,2.54391,0.7716,0.00066535,0.00066535,0.00066535
7,25.94,0.40445,1.06545,0.8301,0.00333,1,0.85644,0.78949,0.44741,2.59475,0.78924,0.000771292,0.000771292,0.000771292
8,27.3408,0.48049,1.0142,0.82221,0.01318,1,0.72396,0.67789,0.42776,2.59915,0.83368,0.000874858,0.000874858,0.000874858
9,28.3571,0.49933,1.03068,0.87184,1,0.50992,0.71845,0.67132,0.38086,2.56468,0.79856,0.000976048,0.000976048,0.000976048
10,29.4425,0.42981,1.06503,0.81667,1,0.20109,0.56988,0.52121,0.41373,2.56534,0.80925,0.00107486,0.00107486,0.00107486
11,30.4197,0.42292,0.90242,0.83922,0.87126,0.64527,0.90574,0.81224,0.43438,2.13423,0.79809,0.0011713,0.0011713,0.0011713
12,31.3299,0.37048,0.85225,0.8182,0.85433,0.83837,0.91875,0.86168,0.34907,1.98458,0.79316,0.00126536,0.00126536,0.00126536
13,32.3578,0.38821,0.97446,0.84125,0.84497,0.77921,0.90625,0.82359,0.42388,1.99117,0.80789,0.00135705,0.00135705,0.00135705
14,33.2818,0.38465,0.88537,0.83277,1,0.99517,0.995,0.92286,0.37246,1.47749,0.8156,0.00144636,0.00144636,0.00144636
15,34.2145,0.49238,1.21652,0.86156,0.99873,1,0.995,0.92719,0.32952,1.19011,0.80721,0.00153329,0.00153329,0.00153329
16,35.1818,0.37709,0.78342,0.84116,0.99774,1,0.995,0.88999,0.40946,0.94366,0.82818,0.00161785,0.00161785,0.00161785
17,36.0604,0.43382,0.78224,0.83038,0.99496,1,0.995,0.93714,0.37803,0.94737,0.81574,0.0016832,0.0016832,0.0016832
18,36.9359,0.32915,2.9187,0.68002,0.99676,1,0.995,0.91655,0.42342,1.01416,0.8361,0.0016634,0.0016634,0.0016634
19,37.8366,0.41182,0.80463,0.81221,0.99748,1,0.995,0.93907,0.34146,0.9152,0.80823,0.0016436,0.0016436,0.0016436
20,38.725,0.3724,0.74891,0.84917,0.99731,1,0.995,0.96436,0.32032,0.5835,0.81006,0.0016238,0.0016238,0.0016238
21,39.6389,0.40336,0.75945,0.81451,0.99643,1,0.995,0.97471,0.30604,0.56101,0.80605,0.001604,0.001604,0.001604
22,40.5181,0.38729,0.68629,0.81056,0.87425,1,0.995,0.95464,0.32557,0.67097,0.80656,0.0015842,0.0015842,0.0015842
23,41.38,0.38309,0.68096,0.81843,0.87475,1,0.995,0.97183,0.28956,0.69699,0.79829,0.0015644,0.0015644,0.0015644
24,42.2444,0.32399,0.59915,0.78842,0.99729,1,0.995,0.93102,0.31914,0.51749,0.81097,0.0015446,0.0015446,0.0015446
25,43.0864,0.29999,1.73351,0.68806,0.99725,1,0.995,0.94257,0.31991,0.50341,0.81394,0.0015248,0.0015248,0.0015248
26,43.9556,0.34612,0.62756,0.82035,0.99737,1,0.995,0.9581,0.29981,0.46026,0.79914,0.001505,0.001505,0.001505
27,44.8104,0.3764,0.68975,0.81224,0.99734,1,0.995,0.96186,0.28176,0.46393,0.79916,0.0014852,0.0014852,0.0014852
28,45.7258,0.33079,0.66434,0.82833,0.99637,1,0.995,0.96881,0.25405,0.47584,0.79957,0.0014654,0.0014654,0.0014654
29,46.5954,0.31032,0.60219,0.83985,0.99663,1,0.995,0.9774,0.26066,0.45222,0.80305,0.0014456,0.0014456,0.0014456
30,47.5159,0.30757,0.5579,0.79853,0.99323,1,0.995,0.94825,0.26473,0.53707,0.7986,0.0014258,0.0014258,0.0014258
31,48.4076,0.32496,0.55399,0.80283,0.99319,1,0.995,0.96744,0.25168,0.54202,0.79268,0.001406,0.001406,0.001406
32,49.3147,0.37492,0.57974,0.81793,0.99365,1,0.995,0.95734,0.28366,0.49633,0.79894,0.0013862,0.0013862,0.0013862
33,50.1934,0.33591,0.55706,0.8521,0.99538,1,0.995,0.95103,0.30953,0.51729,0.80373,0.0013664,0.0013664,0.0013664
34,51.0565,0.3027,0.53367,0.79443,0.99653,1,0.995,0.96155,0.29849,0.44205,0.79969,0.0013466,0.0013466,0.0013466
35,51.9048,0.34604,0.56548,0.80332,0.99716,1,0.995,0.93552,0.29037,0.44673,0.8059,0.0013268,0.0013268,0.0013268
36,52.7483,0.31297,0.52504,0.81614,0.99688,1,0.995,0.98782,0.2458,0.42775,0.7977,0.001307,0.001307,0.001307
37,53.6325,0.27163,0.50879,0.84084,0.99564,1,0.995,0.9809,0.24389,0.42969,0.79631,0.0012872,0.0012872,0.0012872
